,Date,PARK
1018,2017/3/3,35
1019,2017/3/4,34
1020,2017/3/5,32
1021,2017/3/6,58
1022,2017/3/7,57
1023,2017/3/8,58
1024,2017/3/9,62
1025,2017/3/10,62
1026,2017/3/11,64
1027,2017/3/12,67
1028,2017/3/13,63
1029,2017/3/14,63
1030,2017/3/15,74
1031,2017/3/16,74
1032,2017/3/17,72
1033,2017/3/18,85
1034,2017/3/19,90
1035,2017/3/20,93
1036,2017/3/21,92
1037,2017/3/22,92
1038,2017/3/23,85
1039,2017/3/24,85
1040,2017/3/25,85
1041,2017/3/26,88
1042,2017/3/27,93
1043,2017/3/28,92
1044,2017/3/29,91
1045,2017/3/30,92
1046,2017/3/31,94
1047,2017/4/1,98
1048,2017/4/2,98
1049,2017/4/3,98
1050,2017/4/4,92
1051,2017/4/5,97
1052,2017/4/6,96
1053,2017/4/7,96
1054,2017/4/8,98
1055,2017/4/9,100
1056,2017/4/10,99
1057,2017/4/11,100
1058,2017/4/12,97
1059,2017/4/13,96
1060,2017/4/14,96
1061,2017/4/15,96
1062,2017/4/16,95
1063,2017/4/17,96
1064,2017/4/18,93
1065,2017/4/19,87
1066,2017/4/20,83
1067,2017/4/21,78
1068,2017/4/22,84
1069,2017/4/23,87
1070,2017/4/24,91
1071,2017/4/25,91
1072,2017/4/26,93
1073,2017/4/27,95
1074,2017/4/28,92
1075,2017/4/29,93
1076,2017/4/30,94
1077,2017/5/1,85
1078,2017/5/2,74
1079,2017/5/3,63
1080,2017/5/4,59
1081,2017/5/5,54
1082,2017/5/6,50
1083,2017/5/7,44
1084,2017/5/8,40
1085,2017/5/9,37
1086,2017/5/10,34
1087,2017/5/11,33
1088,2017/5/12,30
1089,2017/5/13,52
1090,2017/5/14,54
1091,2017/5/15,57
1092,2017/5/16,57
1093,2017/5/17,63
1094,2017/5/18,65
1095,2017/5/19,62
1096,2017/5/20,65
1097,2017/5/21,70
1098,2017/5/22,75
1099,2017/5/23,80
1100,2017/5/24,85
1101,2017/5/25,90
1102,2017/5/26,89
1103,2017/5/27,90
1104,2017/5/28,87
1105,2017/5/29,90
1106,2017/5/30,89
1107,2017/5/31,91
1108,2017/6/1,92
1109,2017/6/2,86
1110,2017/6/3,89
1111,2017/6/4,88
1112,2017/6/5,86
1113,2017/6/6,91
1114,2017/6/7,91
1115,2017/6/8,91
1116,2017/6/9,89
1117,2017/6/10,87
1118,2017/6/11,83
1119,2017/6/12,87
1120,2017/6/13,90
1121,2017/6/14,93
1122,2017/6/15,94
1123,2017/6/16,92
1124,2017/6/17,94
1125,2017/6/18,91
1126,2017/6/19,90
1127,2017/6/20,87
1128,2017/6/21,88
1129,2017/6/22,86
1130,2017/6/23,90
1131,2017/6/24,91
1132,2017/6/25,88
1133,2017/6/26,88
1134,2017/6/27,87
1135,2017/6/28,87
1136,2017/6/29,85
1137,2017/6/30,87
1138,2017/7/1,83
1139,2017/7/2,91
1140,2017/7/3,89
1141,2017/7/4,87
1142,2017/7/5,80
1143,2017/7/6,85
1144,2017/7/7,82
1145,2017/7/8,81
1146,2017/7/9,74
1147,2017/7/10,65
1148,2017/7/11,55
1149,2017/7/12,50
1150,2017/7/13,45
1151,2017/7/14,38
1152,2017/7/15,35
1153,2017/7/16,33
1154,2017/7/17,29
1155,2017/7/18,25
1156,2017/7/19,22
1157,2017/7/20,51
1158,2017/7/21,50
1159,2017/7/22,51
1160,2017/7/23,55
1161,2017/7/24,63
1162,2017/7/25,67
1163,2017/7/26,67
1164,2017/7/27,65
1165,2017/7/28,66
1166,2017/7/29,71
1167,2017/7/30,71
1168,2017/7/31,82
1169,2017/8/1,80
1170,2017/8/2,88
1171,2017/8/3,93
1172,2017/8/4,92
1173,2017/8/5,95
1174,2017/8/6,94
1175,2017/8/7,95
1176,2017/8/8,95
1177,2017/8/9,92
1178,2017/8/10,95
1179,2017/8/11,91
1180,2017/8/12,88
1181,2017/8/13,91
1182,2017/8/14,91
1183,2017/8/15,92
1184,2017/8/16,92
1185,2017/8/17,89
1186,2017/8/18,93
1187,2017/8/19,96
1188,2017/8/20,97
1189,2017/8/21,93
1190,2017/8/22,92
1191,2017/8/23,94
1192,2017/8/24,93
1193,2017/8/25,91
1194,2017/8/26,91
1195,2017/8/27,87
1196,2017/8/28,91
1197,2017/8/29,91
1198,2017/8/30,91
1199,2017/8/31,93
1200,2017/9/1,92
1201,2017/9/2,92
1202,2017/9/3,96
1203,2017/9/4,93
1204,2017/9/5,91
1205,2017/9/6,89
1206,2017/9/7,90
1207,2017/9/8,93
1208,2017/9/9,92
1209,2017/9/10,91
1210,2017/9/11,91
1211,2017/9/12,91
1212,2017/9/13,84
1213,2017/9/14,85
1214,2017/9/15,80
1215,2017/9/16,72
1216,2017/9/17,64
1217,2017/9/18,57
1218,2017/9/19,51
1219,2017/9/20,47
1220,2017/9/21,42
1221,2017/9/22,39
1222,2017/9/23,33
1223,2017/9/24,31
1224,2017/9/25,29
1225,2017/9/26,58
1226,2017/9/27,59
1227,2017/9/28,62
1228,2017/9/29,61
1229,2017/9/30,62
1230,2017/10/1,65
1231,2017/10/2,66
1232,2017/10/3,72
1233,2017/10/4,70
1234,2017/10/5,73
1235,2017/10/6,82
1236,2017/10/7,87
1237,2017/10/8,88
1238,2017/10/9,88
1239,2017/10/10,87
1240,2017/10/11,89
1241,2017/10/12,90
1242,2017/10/13,87
1243,2017/10/14,90
1244,2017/10/15,90
1245,2017/10/16,90
1246,2017/10/17,90
